date,store_location,product_id,sales_amount
2/1/2025,Los Angeles,P001,720
2/2/2025,Los Angeles,P002,960
2/3/2025,Los Angeles,P003,540
2/4/2025,Los Angeles,P004,720
2/5/2025,Los Angeles,P005,900
2/6/2025,Los Angeles,P001,720
2/7/2025,Los Angeles,P002,960
2/8/2025,Los Angeles,P003,540
2/9/2025,Los Angeles,P004,720
2/1/2025,Chicago,P005,575
2/2/2025,Chicago,P001,440
2/3/2025,Chicago,P002,420
2/4/2025,Chicago,P003,405
2/5/2025,Chicago,P004,440
2/6/2025,Chicago,P005,575
2/7/2025,Chicago,P001,540
2/8/2025,Chicago,P002,520
2/9/2025,Chicago,P003,405
2/1/2025,Houston,P004,580
2/2/2025,Houston,P005,600
2/3/2025,Houston,P001,580
2/4/2025,Houston,P002,640
2/5/2025,Houston,P003,460
2/6/2025,Houston,P004,480
2/7/2025,Houston,P005,600
2/8/2025,Houston,P001,580
2/9/2025,Houston,P002,640
2/1/2025,Seattle,P003,405
2/2/2025,Seattle,P004,440
2/3/2025,Seattle,P005,575
2/4/2025,Seattle,P001,440
2/5/2025,Seattle,P002,320
2/6/2025,Seattle,P003,405
2/7/2025,Seattle,P004,540
2/8/2025,Seattle,P005,575
2/9/2025,Seattle,P001,540
2/1/2025,New York,P002,560
2/2/2025,New York,P003,315
2/3/2025,New York,P004,420
2/4/2025,New York,P005,525
2/5/2025,New York,P001,420
2/6/2025,New York,P002,560
2/7/2025,New York,P003,315
2/8/2025,New York,P004,420
2/9/2025,New York,P005,525
